XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
447521.5611,4372546.093,109,106,101800,66.78478305
447535.3684,4372563.635,110,109,55,22.32426692
447535.3684,4372563.635,110,125,64,438.973036
447535.3684,4372563.635,110,518,260,2555.817605
441298.0279,4372606.561,112,72,56,1887.340486
441298.0279,4372606.561,112,113,58,8.463041221
441298.0279,4372606.561,112,142,71,290.3515581
441289.5795,4372607.058,113,73,57,367.6614068
441289.5795,4372607.058,113,112,58,8.463041221
441289.5795,4372607.058,113,117,60,10.58052536
441289.5795,4372607.058,113,143,72,290.803628
441279.0167,4372607.671,117,75,59,367.7146882
441279.0167,4372607.671,117,113,60,10.58052536
441279.0167,4372607.671,117,122,62,604.4159135
441279.0167,4372607.671,117,147,74,291.4492298
440675.1622,4372633.717,122,94,61,192.5294762
440675.1622,4372633.717,122,117,62,604.4159135
440675.1622,4372633.717,122,130,66,576.9683036
440675.1622,4372633.717,122,152,76,323.9145902
440675.1622,4372633.717,122,155,78,325.1358687
447956.2061,4372639.863,125,126,63,640.4870849
447956.2061,4372639.863,125,110,64,438.973036
447956.2061,4372639.863,125,524,263,2514.697297
448581.2687,4372502.538,126,125,63,640.4870849
440098.7927,4372659.996,130,98,65,190.9775643
440098.7927,4372659.996,130,122,66,576.9683036
440098.7927,4372659.996,130,133,68,537.613947
440098.7927,4372659.996,130,160,80,320.9998954
439561.1906,4372663.563,133,83,67,377.088644
439561.1906,4372663.563,133,130,68,537.613947
439561.1906,4372663.563,133,137,70,458.2415263
439561.1906,4372663.563,133,163,82,339.9242001
439102.9858,4372669.361,137,86,69,373.3610944
439102.9858,4372669.361,137,133,70,458.2415263
439102.9858,4372669.361,137,167,84,351.0178146
441325.1021,4372895.648,142,112,71,290.3515581
441325.1021,4372895.648,142,143,73,8.126999519
441325.1021,4372895.648,142,224,112,558.4139877
441317.0269,4372896.564,143,113,72,290.803628
441317.0269,4372896.564,143,142,73,8.126999519
441317.0269,4372896.564,143,147,75,10.83953382
441317.0269,4372896.564,143,227,114,558.0127636
441306.2632,4372897.844,147,117,74,291.4492298
441306.2632,4372897.844,147,143,75,10.83953382
441306.2632,4372897.844,147,152,77,615.0366475
441306.2632,4372897.844,147,231,116,557.3074092
440694.5213,4372956.468,152,122,76,323.9145902
